epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8200.91,1.25979,1.08601,1.68635,0.84417,0.81158,0.85807,0.44119,1.76318,1.04779,2.62244,0.0011882,0.0011882,0.0011882
43,8336.77,1.26613,1.10125,1.70248,0.83289,0.81773,0.86013,0.40354,1.82533,1.05113,2.66423,0.0011684,0.0011684,0.0011684
44,8472.28,1.21433,1.06922,1.65367,0.87414,0.81773,0.86646,0.43657,1.7652,0.9884,2.58802,0.0011486,0.0011486,0.0011486
45,8607.77,1.18442,1.01427,1.65664,0.86346,0.81897,0.84439,0.44864,1.69615,0.94291,2.57497,0.0011288,0.0011288,0.0011288
46,8742.95,1.17835,1.05683,1.63774,0.84988,0.82635,0.8485,0.45078,1.71465,0.97395,2.56083,0.001109,0.001109,0.001109
47,8878.26,1.23528,1.01989,1.66827,0.82334,0.80929,0.84709,0.4429,1.73779,1.02017,2.55445,0.0010892,0.0010892,0.0010892
48,9013.5,1.21653,1.00249,1.6556,0.83284,0.81281,0.81728,0.4188,1.80946,1.04064,2.6012,0.0010694,0.0010694,0.0010694
49,9149.67,1.25135,1.09436,1.69458,0.79292,0.78695,0.82914,0.3912,1.83549,1.11401,2.59323,0.0010496,0.0010496,0.0010496
50,9284.87,1.23426,1.05035,1.69767,0.8418,0.82568,0.86092,0.43399,1.73722,0.96861,2.54252,0.0010298,0.0010298,0.0010298
51,9420.63,1.23761,1.10718,1.70504,0.83479,0.82512,0.85311,0.41797,1.78359,1.02652,2.57291,0.00101,0.00101,0.00101
52,9556.38,1.16722,1.04315,1.63244,0.82301,0.81773,0.85061,0.43185,1.73931,1.00631,2.60051,0.0009902,0.0009902,0.0009902
53,9691.68,1.25486,1.00474,1.70086,0.85687,0.82635,0.8713,0.44917,1.71057,0.97229,2.5709,0.0009704,0.0009704,0.0009704
54,9826.6,1.18065,0.99414,1.62978,0.82962,0.81158,0.82198,0.45838,1.65013,0.91148,2.55093,0.0009506,0.0009506,0.0009506
55,9962.16,1.19656,1.00472,1.62737,0.83062,0.80172,0.845,0.45146,1.66495,1.00531,2.47452,0.0009308,0.0009308,0.0009308
56,10097.3,1.21919,1.03356,1.69576,0.85597,0.82512,0.87424,0.45192,1.69171,1.00112,2.46794,0.000911,0.000911,0.000911
57,10232.4,1.15238,0.95396,1.62623,0.85488,0.82703,0.86329,0.46351,1.68791,0.93276,2.53137,0.0008912,0.0008912,0.0008912
58,10367.8,1.20763,0.97792,1.65579,0.85733,0.82143,0.85466,0.46135,1.67308,0.93067,2.52788,0.0008714,0.0008714,0.0008714
59,10503.2,1.14099,0.98308,1.60653,0.86236,0.84852,0.85733,0.46107,1.66118,0.89843,2.5102,0.0008516,0.0008516,0.0008516
60,10639.1,1.20754,0.9787,1.65131,0.84941,0.83374,0.8497,0.4509,1.74391,0.89914,2.64869,0.0008318,0.0008318,0.0008318
61,10774.4,1.16301,0.9973,1.62484,0.86227,0.84042,0.8398,0.42698,1.78105,0.91607,2.65523,0.000812,0.000812,0.000812
62,10909.5,1.20603,0.98819,1.64648,0.84385,0.83856,0.87989,0.4209,1.83364,0.9753,2.60558,0.0007922,0.0007922,0.0007922
63,11035.1,1.21222,0.98556,1.67483,0.87825,0.8399,0.88127,0.46044,1.72796,0.88689,2.51984,0.0007724,0.0007724,0.0007724
64,11153.7,1.18213,0.9639,1.64315,0.86826,0.84852,0.87724,0.46503,1.71988,0.86727,2.52197,0.0007526,0.0007526,0.0007526
65,11273.4,1.12842,0.94881,1.58661,0.87317,0.83498,0.86215,0.4582,1.7075,0.91422,2.55793,0.0007328,0.0007328,0.0007328
66,11393.3,1.19476,0.96462,1.64241,0.85717,0.83516,0.87998,0.46697,1.69962,0.91712,2.52719,0.000713,0.000713,0.000713
67,11518.6,1.12952,0.94583,1.59733,0.85657,0.84236,0.86863,0.47081,1.67419,0.93946,2.52718,0.0006932,0.0006932,0.0006932
68,11652.4,1.14113,0.9272,1.61341,0.85298,0.82635,0.84498,0.44611,1.72638,0.96063,2.60425,0.0006734,0.0006734,0.0006734
69,11786.7,1.14679,0.95739,1.60531,0.83688,0.83399,0.87573,0.45861,1.70546,0.96236,2.54212,0.0006536,0.0006536,0.0006536
70,11921.3,1.1265,0.92641,1.59215,0.88282,0.81897,0.86658,0.46653,1.70489,0.90389,2.56289,0.0006338,0.0006338,0.0006338
71,12055.3,1.13834,0.93023,1.60647,0.86873,0.83498,0.87538,0.47879,1.6525,0.90498,2.48537,0.000614,0.000614,0.000614
